"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent"
"Bin129",3.3609431392447e-05,"b7c98238522dc1a43995539702a9e087c6cc5004",0.723502852244892,"Bacteria","Firmicutes","TSAC18","TSAC18","TSAC18","TSAC18","Bacteria",1,"Firmicutes",0.723502852244892,"TSAC18",0.723502852244892,"TSAC18",0.723502852244892,"TSAC18",0.723502852244892,"TSAC18",0.723502852244892
"Bin130",0.00014280480533127,"0c15b59ad469f275571ea17668ff8c03fa29f350",0.635378414495032,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Uncultured_Christensenellaceae","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Christensenellales",0.645949409674406,"Christensenellaceae",0.645949409674406,"Uncultured_Christensenellaceae",0.635378414495032
"Bin131",5.81412623691147e-05,"c375785ba6562480fbda9c7f80a83981283a3ea0",0.847120042846078,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Clostridiaceae",1,"Clostridium_sensu_stricto_1",0.847120042846078
"Bin132",0.000178309361713509,"e9088dcd38f40465f6ea4de326df8efde6760e6e",0.987576953315308,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Uncultured_Clostridiaceae","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Clostridiaceae",1,"Uncultured_Clostridiaceae",0.987576953315308
"Bin133",1.08932437442521e-05,"b19ed3aebad8cc53e00a40db5f9ec9c9df17c6c5",0.899595735566405,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Uncultured_Hungateiclostridiaceae","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Oscillospirales",1,"Hungateiclostridiaceae",1,"Uncultured_Hungateiclostridiaceae",0.899595735566405
"Bin134",1.98379784680949e-05,"4cdb65adfa30ef9880ee7534081a22da4a44ffac",0.942388160900527,"Bacteria","Firmicutes","Clostridia","MAT-CR-H4-C10","MAT-CR-H4-C10","MAT-CR-H4-C10","Bacteria",1,"Firmicutes",1,"Clostridia",0.942388160900527,"MAT-CR-H4-C10",0.942388160900527,"MAT-CR-H4-C10",0.942388160900527,"MAT-CR-H4-C10",0.942388160900527
"Bin135",5.27083484791154e-06,"3ebf8261fc122b72d4abbed87c943c2e8364b21b",0.570393793685308,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","[Anaerorhabdus]_furcosa_group","Bacteria",1,"Firmicutes",1,"Bacilli",1,"Erysipelotrichales",1,"Erysipelotrichaceae",1,"[Anaerorhabdus]_furcosa_group",0.570393793685308
"Bin136",1.94638047290204e-06,"dc67d4134cac3c5f0a453b56289307772de35e80",0.688956514775366,"Bacteria","Firmicutes","Bacilli","RF39","RF39","RF39","Bacteria",1,"Firmicutes",1,"Bacilli",1,"RF39",0.688956514775366,"RF39",0.688956514775366,"RF39",0.688956514775366
"Bin137",5.33254859654676e-05,"92e6ad5147d46ced336987f54ba7a0ea10f84535",0.952684817186779,"Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales_Incertae_Sedis","Candidatus_Hepatoplasma","Bacteria",1,"Firmicutes",1,"Bacilli",1,"Entomoplasmatales",0.952684817186779,"Entomoplasmatales_Incertae_Sedis",0.952684817186779,"Candidatus_Hepatoplasma",0.952684817186779
"Bin138",3.46739312654749e-05,"6a0d5bc588c8ffd68dc5145a2184102580732d85",0.757167156227509,"Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Bacteria",1,"Firmicutes",0.757167156227509,"Bacilli",0.757167156227509,"Mycoplasmatales",0.757167156227509,"Mycoplasmataceae",0.757167156227509,"Mycoplasma",0.757167156227509
